Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,20,4096,32,1,prefill,0.1138629479285713,143892.28715804918,0.2722594962887441,163.61748575044714
Llama2-7B,32,4096,1,32,decoding,2.2735429745,1576.39421827432,16.195409234436337,327.89539266351505
Llama2-7B,32,4096,1,32,end2end,2.598334828,1576.3942182743203,16.1538934590179,327.0548562321409
Llama2-7B,32,4096,1,32,prefill,0.3247918534999999,1576.3942182743203,15.863283031088868,321.1711012125216
Llama2-7B,32,4096,2,16,decoding,2.121443365125,3378.83165670918,8.097704617218168,327.89539266351505
Llama2-7B,32,4096,2,16,end2end,2.424506703,3378.83165670918,8.07694672950895,327.0548562321409
Llama2-7B,32,4096,2,16,prefill,0.3030633378749999,3378.83165670918,7.931641515544435,321.1711012125216
Llama2-7B,32,4096,4,8,decoding,2.070173833875,6925.022317167221,4.048852308609084,327.89539266351505
Llama2-7B,32,4096,4,8,end2end,2.365912953,6925.022317167221,4.038473364754475,327.0548562321409
Llama2-7B,32,4096,4,8,prefill,0.2957391191249999,6925.022317167221,3.965820757772217,321.1711012125216
Llama2-7B,32,4096,8,4,decoding,1.96250781825,14609.878102583709,2.024426154304542,327.89539266351505
Llama2-7B,32,4096,8,4,end2end,2.242866078,14609.878102583709,2.019236682377238,327.0548562321409
Llama2-7B,32,4096,8,4,prefill,0.2803582597499999,14609.878102583709,1.9829103788861089,321.1711012125216
Llama2-7B,32,4096,16,2,decoding,1.81895313075,31525.826053778324,1.012213077152271,327.89539266351505
Llama2-7B,32,4096,16,2,end2end,2.078803578,31525.82605377833,1.0096183411886188,327.0548562321409
Llama2-7B,32,4096,16,2,prefill,0.2598504472499999,31525.82605377833,0.9914551894430542,321.1711012125216
Llama2-7B,32,4096,32,1,decoding,0.814283000125,140845.3817436866,0.4978162345761354,322.52428543967306
Llama2-7B,32,4096,32,1,end2end,0.9306091429999996,140845.38174368656,0.4965188665943094,321.68374900829895
Llama2-7B,32,4096,32,1,prefill,0.1163261428749999,140845.38174368656,0.4874372907215271,315.79999398867966
